Team,Round,Date,Year,Total Points
Adelaide,R9,1/8/2020,2020,7.8
Adelaide,R9,14/5/2022,2022,9.12
Adelaide,R9,14/5/2023,2023,19.7
Adelaide,R9,15/5/2014,2014,10.16
Adelaide,R9,16/5/2021,2021,11.1
Adelaide,R9,18/5/2018,2018,9.9
Adelaide,R9,18/5/2019,2019,13.14
Adelaide,R9,20/5/2017,2017,21.14
Adelaide,R9,21/5/2016,2016,22.17
Adelaide,R9,26/5/2012,2012,6.13
Adelaide,R9,26/5/2013,2013,18.17
Adelaide,R9,30/5/2015,2015,7.15
Adelaide,SF,14/9/2012,2012,12.9
Adelaide,SF,17/9/2016,2016,12.1
Adelaide,SF,18/9/2015,2015,8.13
Brisbane Lions,EF,1/9/2022,2022,16.1
Brisbane Lions,GF,30/9/2023,2023,13.8
Brisbane Lions,PF,16/9/2022,2022,7.7
Brisbane Lions,PF,17/10/2020,2020,6.6
Brisbane Lions,PF,23/9/2023,2023,11.13
Brisbane Lions,QF,2/10/2020,2020,10.9
Brisbane Lions,QF,28/8/2021,2021,9.6
Brisbane Lions,QF,7/9/2019,2019,8.17
Brisbane Lions,QF,9/9/2023,2023,19.9
Brisbane Lions,R1,18/3/2023,2023,11.6
Brisbane Lions,R1,19/3/2022,2022,11.14
Brisbane Lions,R1,20/3/2021,2021,14.1
Brisbane Lions,R1,22/3/2014,2014,13.13
Brisbane Lions,R1,22/3/2020,2020,9.8
Brisbane Lions,R1,23/3/2019,2019,15.12
Brisbane Lions,R1,24/3/2018,2018,12.1
Brisbane Lions,R1,25/3/2017,2017,15.8
Brisbane Lions,R1,27/3/2016,2016,15.12
Brisbane Lions,R1,30/3/2013,2013,7.17
Brisbane Lions,R1,31/3/2012,2012,17.17
Brisbane Lions,R1,4/4/2015,2015,11.8
Brisbane Lions,R10,20/5/2023,2023,16.11
Brisbane Lions,R10,21/5/2021,2021,15.12
Brisbane Lions,R10,22/5/2022,2022,17.1
Brisbane Lions,R10,26/5/2018,2018,6.13
Brisbane Lions,R10,26/5/2019,2019,10.12
Brisbane Lions,R10,28/5/2016,2016,13.9
Brisbane Lions,R10,28/5/2017,2017,13.6
Brisbane Lions,R10,3/6/2012,2012,16.6
Brisbane Lions,R10,31/5/2013,2013,7.9
Brisbane Lions,R10,4/8/2020,2020,4.17
Brisbane Lions,R10,7/6/2015,2015,10.7
Brisbane Lions,R11,1/6/2019,2019,12.13
Brisbane Lions,R11,28/5/2022,2022,16.14
Brisbane Lions,R11,28/5/2023,2023,10.18
Brisbane Lions,R11,29/5/2021,2021,19.15
Brisbane Lions,R11,3/6/2018,2018,12.15
Brisbane Lions,R11,31/5/2014,2014,14.14
Brisbane Lions,R11,4/6/2016,2016,9.1
Brisbane Lions,R11,8/8/2020,2020,14.12
Brisbane Lions,R12,10/6/2017,2017,18.13
Brisbane Lions,R12,10/6/2018,2018,8.14
Brisbane Lions,R12,11/6/2016,2016,9.1
Brisbane Lions,R12,15/6/2013,2013,6.1
Brisbane Lions,R12,15/8/2020,2020,7.11
Brisbane Lions,R12,17/6/2012,2012,11.4
Brisbane Lions,R12,20/6/2015,2015,11.8
Brisbane Lions,R12,4/6/2021,2021,11.9
