Team,RoundOrder,Date,Year,Total Points,Cumulative Points
Brisbane Lions,4,8/4/2022,2022,11.4,61.42
Brisbane Lions,5,14/4/2022,2022,15.8,77.22
Brisbane Lions,5,15/4/2023,2023,22.2,74.61
Brisbane Lions,5,17/4/2014,2014,9.9,50.93
Brisbane Lions,5,17/4/2021,2021,15.12,60.66
Brisbane Lions,5,18/4/2019,2019,8.13,64.58
Brisbane Lions,5,2/5/2015,2015,7.12,44.03
Brisbane Lions,5,22/4/2017,2017,14.6,64.32
Brisbane Lions,5,22/4/2018,2018,10.11,49.65
Brisbane Lions,5,23/4/2016,2016,10.7,58.36
Brisbane Lions,5,28/4/2012,2012,4.17,54.64
Brisbane Lions,5,28/4/2013,2013,17.2,57.5
Brisbane Lions,5,4/7/2020,2020,12.13,55.2
Brisbane Lions,6,1/5/2016,2016,14.1,72.46
Brisbane Lions,6,10/5/2015,2015,12.12,56.15
Brisbane Lions,6,22/4/2023,2023,16.12,90.73
Brisbane Lions,6,24/4/2021,2021,15.13,75.78999999999999
Brisbane Lions,6,24/4/2022,2022,21.6,98.82
Brisbane Lions,6,25/4/2014,2014,12.1,63.03
Brisbane Lions,6,27/4/2019,2019,16.15,80.72999999999999
Brisbane Lions,6,28/4/2018,2018,5.13,54.78
Brisbane Lions,6,29/4/2017,2017,10.7,75.02
Brisbane Lions,6,5/5/2012,2012,9.8,64.44
Brisbane Lions,6,5/5/2013,2013,8.7,66.2
Brisbane Lions,6,9/7/2020,2020,6.1,61.300000000000004
Brisbane Lions,7,1/5/2021,2021,13.15,88.94
Brisbane Lions,7,1/5/2022,2022,17.11,115.93
Brisbane Lions,7,11/5/2013,2013,12.1,78.3
Brisbane Lions,7,12/5/2012,2012,8.1,72.53999999999999
Brisbane Lions,7,17/5/2015,2015,15.12,71.27
Brisbane Lions,7,18/7/2020,2020,13.1,74.4
Brisbane Lions,7,29/4/2023,2023,17.13,107.86
Brisbane Lions,7,3/5/2014,2014,6.8,69.83
Brisbane Lions,7,4/5/2019,2019,14.19,94.92
Brisbane Lions,7,6/5/2018,2018,18.6,73.38
