Team,Round,Date,Year,Total Points,RoundOrder
Sydney,R15,7/7/2012,2012,16.14,15
West Coast,R15,7/7/2012,2012,12.14,15
Western Bulldogs,R15,8/7/2012,2012,8.9,15
Adelaide,R16,15/7/2012,2012,27.16,16
Brisbane Lions,R16,14/7/2012,2012,14.8,16
Carlton,R16,13/7/2012,2012,14.12,16
Collingwood,R16,14/7/2012,2012,17.8,16
Essendon,R16,14/7/2012,2012,19.13,16
Fremantle,R16,14/7/2012,2012,18.9,16
Geelong,R16,14/7/2012,2012,10.19,16
Gold Coast,R16,14/7/2012,2012,13.12,16
Greater Western Sydney,R16,15/7/2012,2012,8.11,16
Hawthorn,R16,15/7/2012,2012,17.14,16
Melbourne,R16,14/7/2012,2012,12.11,16
North Melbourne,R16,13/7/2012,2012,24.5,16
Port Adelaide,R16,14/7/2012,2012,11.11,16
Richmond,R16,14/7/2012,2012,13.1,16
St Kilda,R16,14/7/2012,2012,16.9,16
Sydney,R16,15/7/2012,2012,18.13,16
West Coast,R16,15/7/2012,2012,10.9,16
Western Bulldogs,R16,15/7/2012,2012,6.8,16
Adelaide,R17,21/7/2012,2012,19.1,17
Brisbane Lions,R17,21/7/2012,2012,8.11,17
Carlton,R17,21/7/2012,2012,16.6,17
Collingwood,R17,21/7/2012,2012,13.13,17
Essendon,R17,20/7/2012,2012,10.7,17
Fremantle,R17,22/7/2012,2012,18.24,17
Geelong,R17,20/7/2012,2012,20.14,17
Gold Coast,R17,21/7/2012,2012,5.18,17
Greater Western Sydney,R17,22/7/2012,2012,5.7,17
Hawthorn,R17,21/7/2012,2012,21.12,17
Melbourne,R17,21/7/2012,2012,8.8,17
North Melbourne,R17,22/7/2012,2012,15.13,17
Port Adelaide,R17,21/7/2012,2012,12.12,17
Richmond,R17,22/7/2012,2012,14.15,17
St Kilda,R17,22/7/2012,2012,10.16,17
Sydney,R17,22/7/2012,2012,15.15,17
West Coast,R17,21/7/2012,2012,11.9,17
Western Bulldogs,R17,21/7/2012,2012,12.12,17
Adelaide,R18,28/7/2012,2012,11.9,18
Brisbane Lions,R18,29/7/2012,2012,12.5,18
Carlton,R18,28/7/2012,2012,14.11,18
Collingwood,R18,28/7/2012,2012,26.18,18
Essendon,R18,27/7/2012,2012,12.14,18
Fremantle,R18,29/7/2012,2012,11.9,18
Geelong,R18,28/7/2012,2012,15.12,18
Gold Coast,R18,28/7/2012,2012,8.6,18
Greater Western Sydney,R18,28/7/2012,2012,7.12,18
Hawthorn,R18,27/7/2012,2012,27.18,18
Melbourne,R18,28/7/2012,2012,11.7,18
North Melbourne,R18,28/7/2012,2012,19.13,18
Port Adelaide,R18,29/7/2012,2012,6.12,18
Richmond,R18,28/7/2012,2012,13.13,18
St Kilda,R18,29/7/2012,2012,16.22,18
Sydney,R18,28/7/2012,2012,19.12,18
West Coast,R18,29/7/2012,2012,28.7,18
Western Bulldogs,R18,29/7/2012,2012,6.6,18
Adelaide,R19,5/8/2012,2012,16.8,19
Brisbane Lions,R19,4/8/2012,2012,12.12,19
Carlton,R19,5/8/2012,2012,10.11,19
Collingwood,R19,4/8/2012,2012,12.19,19
Essendon,R19,5/8/2012,2012,15.1,19
Fremantle,R19,4/8/2012,2012,17.11,19
Geelong,R19,3/8/2012,2012,18.1,19
Gold Coast,R19,5/8/2012,2012,9.12,19
Greater Western Sydney,R19,4/8/2012,2012,16.11,19
Hawthorn,R19,3/8/2012,2012,17.14,19
Melbourne,R19,5/8/2012,2012,16.12,19
North Melbourne,R19,4/8/2012,2012,18.7,19
Port Adelaide,R19,4/8/2012,2012,10.13,19
Richmond,R19,4/8/2012,2012,20.12,19
St Kilda,R19,4/8/2012,2012,13.7,19
Sydney,R19,5/8/2012,2012,14.9,19
West Coast,R19,4/8/2012,2012,6.12,19
Western Bulldogs,R19,4/8/2012,2012,8.13,19
Adelaide,R20,11/8/2012,2012,17.17,20
Brisbane Lions,R20,11/8/2012,2012,10.17,20
Carlton,R20,11/8/2012,2012,17.11,20
Collingwood,R20,11/8/2012,2012,12.6,20
Essendon,R20,12/8/2012,2012,11.1,20
Fremantle,R20,11/8/2012,2012,14.7,20
Geelong,R20,10/8/2012,2012,15.7,20
Gold Coast,R20,11/8/2012,2012,16.13,20
Greater Western Sydney,R20,11/8/2012,2012,12.7,20
Hawthorn,R20,12/8/2012,2012,24.15,20
