Team,Round,Date,Year,Total Points,RoundOrder
Brisbane Lions,R4,10/4/2021,2021,8.6,4
Carlton,R4,10/4/2021,2021,9.16,4
Collingwood,R4,10/4/2021,2021,9.6,4
Essendon,R4,8/4/2021,2021,12.8,4
Fremantle,R4,11/4/2021,2021,13.18,4
Geelong,R4,11/4/2021,2021,9.6,4
Gold Coast,R4,10/4/2021,2021,8.11,4
Greater Western Sydney,R4,10/4/2021,2021,14.6,4
Hawthorn,R4,11/4/2021,2021,12.9,4
Melbourne,R4,11/4/2021,2021,12.13,4
North Melbourne,R4,11/4/2021,2021,10.8,4
Port Adelaide,R4,9/4/2021,2021,11.13,4
Richmond,R4,9/4/2021,2021,11.11,4
St Kilda,R4,10/4/2021,2021,15.12,4
Sydney,R4,8/4/2021,2021,11.17,4
West Coast,R4,10/4/2021,2021,13.4,4
Western Bulldogs,R4,10/4/2021,2021,10.13,4
Adelaide,R5,18/4/2021,2021,11.6,5
Brisbane Lions,R5,17/4/2021,2021,15.12,5
Carlton,R5,17/4/2021,2021,9.14,5
Collingwood,R5,16/4/2021,2021,11.1,5
Essendon,R5,17/4/2021,2021,6.9,5
Fremantle,R5,18/4/2021,2021,12.12,5
Geelong,R5,18/4/2021,2021,10.17,5
Gold Coast,R5,17/4/2021,2021,8.8,5
Greater Western Sydney,R5,17/4/2021,2021,9.17,5
Hawthorn,R5,18/4/2021,2021,8.6,5
Melbourne,R5,18/4/2021,2021,15.14,5
North Melbourne,R5,18/4/2021,2021,7.5,5
Port Adelaide,R5,17/4/2021,2021,15.6,5
Richmond,R5,15/4/2021,2021,20.14,5
St Kilda,R5,15/4/2021,2021,7.6,5
Sydney,R5,17/4/2021,2021,10.9,5
West Coast,R5,16/4/2021,2021,16.7,5
Western Bulldogs,R5,17/4/2021,2021,17.16,5
Adelaide,R6,25/4/2021,2021,16.3,6
Brisbane Lions,R6,24/4/2021,2021,15.13,6
Carlton,R6,24/4/2021,2021,12.13,6
Collingwood,R6,25/4/2021,2021,13.7,6
Essendon,R6,25/4/2021,2021,16.13,6
Fremantle,R6,24/4/2021,2021,14.15,6
Geelong,R6,24/4/2021,2021,21.1,6
Gold Coast,R6,24/4/2021,2021,15.1,6
Greater Western Sydney,R6,23/4/2021,2021,9.11,6
Hawthorn,R6,25/4/2021,2021,15.12,6
Melbourne,R6,24/4/2021,2021,12.1,6
North Melbourne,R6,24/4/2021,2021,6.12,6
Port Adelaide,R6,25/4/2021,2021,14.9,6
Richmond,R6,24/4/2021,2021,6.12,6
St Kilda,R6,25/4/2021,2021,5.9,6
Sydney,R6,24/4/2021,2021,9.6,6
West Coast,R6,24/4/2021,2021,5.9,6
Western Bulldogs,R6,23/4/2021,2021,15.14,6
Adelaide,R7,1/5/2021,2021,4.15,7
Brisbane Lions,R7,1/5/2021,2021,13.15,7
Carlton,R7,2/5/2021,2021,19.9,7
Collingwood,R7,1/5/2021,2021,7.13,7
Essendon,R7,2/5/2021,2021,16.11,7
Fremantle,R7,2/5/2021,2021,11.7,7
Geelong,R7,1/5/2021,2021,12.16,7
Gold Coast,R7,1/5/2021,2021,12.7,7
Greater Western Sydney,R7,1/5/2021,2021,15.16,7
Hawthorn,R7,1/5/2021,2021,9.5,7
Melbourne,R7,2/5/2021,2021,16.7,7
North Melbourne,R7,2/5/2021,2021,11.7,7
Port Adelaide,R7,1/5/2021,2021,5.14,7
Richmond,R7,30/4/2021,2021,11.11,7
St Kilda,R7,1/5/2021,2021,19.14,7
Sydney,R7,1/5/2021,2021,14.6,7
West Coast,R7,2/5/2021,2021,20.12,7
Western Bulldogs,R7,30/4/2021,2021,7.13,7
Adelaide,R8,8/5/2021,2021,5.8,8
Brisbane Lions,R8,9/5/2021,2021,14.11,8
Carlton,R8,9/5/2021,2021,13.13,8
Collingwood,R8,8/5/2021,2021,14.1,8
Essendon,R8,8/5/2021,2021,16.9,8
Fremantle,R8,9/5/2021,2021,10.11,8
Geelong,R8,7/5/2021,2021,19.12,8
Gold Coast,R8,8/5/2021,2021,7.12,8
Greater Western Sydney,R8,8/5/2021,2021,16.11,8
Hawthorn,R8,9/5/2021,2021,8.12,8
Melbourne,R8,8/5/2021,2021,10.7,8
North Melbourne,R8,8/5/2021,2021,11.1,8
Port Adelaide,R8,8/5/2021,2021,12.15,8
Richmond,R8,7/5/2021,2021,9.9,8
St Kilda,R8,8/5/2021,2021,8.15,8
Sydney,R8,8/5/2021,2021,8.1,8
West Coast,R8,9/5/2021,2021,14.14,8
Western Bulldogs,R8,9/5/2021,2021,16.11,8
Adelaide,R9,16/5/2021,2021,11.1,9
Brisbane Lions,R9,15/5/2021,2021,19.1,9
Carlton,R9,16/5/2021,2021,10.8,9
Collingwood,R9,15/5/2021,2021,5.12,9
Essendon,R9,16/5/2021,2021,10.8,9
Fremantle,R9,16/5/2021,2021,8.13,9
Geelong,R9,14/5/2021,2021,10.8,9
Gold Coast,R9,15/5/2021,2021,7.9,9
Greater Western Sydney,R9,15/5/2021,2021,12.11,9
Hawthorn,R9,15/5/2021,2021,12.8,9
Melbourne,R9,16/5/2021,2021,13.16,9
North Melbourne,R9,15/5/2021,2021,13.9,9
Port Adelaide,R9,15/5/2021,2021,12.5,9
Richmond,R9,15/5/2021,2021,13.9,9
St Kilda,R9,14/5/2021,2021,5.17,9
Sydney,R9,15/5/2021,2021,10.12,9
West Coast,R9,16/5/2021,2021,16.1,9
Western Bulldogs,R9,15/5/2021,2021,15.6,9
Adelaide,R10,22/5/2021,2021,15.6,10
Brisbane Lions,R10,21/5/2021,2021,15.12,10
Carlton,R10,22/5/2021,2021,13.8,10
Collingwood,R10,23/5/2021,2021,8.1,10
Essendon,R10,23/5/2021,2021,22.9,10
Fremantle,R10,22/5/2021,2021,12.14,10
Geelong,R10,22/5/2021,2021,14.7,10
Gold Coast,R10,22/5/2021,2021,8.9,10
Greater Western Sydney,R10,23/5/2021,2021,13.15,10
Hawthorn,R10,22/5/2021,2021,9.9,10
Melbourne,R10,22/5/2021,2021,14.11,10
North Melbourne,R10,23/5/2021,2021,10.9,10
Port Adelaide,R10,23/5/2021,2021,8.11,10
Richmond,R10,21/5/2021,2021,11.8,10
St Kilda,R10,22/5/2021,2021,5.3,10
Sydney,R10,22/5/2021,2021,13.6,10
West Coast,R10,23/5/2021,2021,11.11,10
Western Bulldogs,R10,22/5/2021,2021,21.18,10
Adelaide,R11,30/5/2021,2021,12.11,11
Brisbane Lions,R11,29/5/2021,2021,19.15,11
Carlton,R11,30/5/2021,2021,11.12,11
Collingwood,R11,29/5/2021,2021,6.15,11
Essendon,R11,29/5/2021,2021,12.15,11
Fremantle,R11,30/5/2021,2021,9.15,11
Geelong,R11,29/5/2021,2021,8.13,11
Gold Coast,R11,29/5/2021,2021,17.11,11
Greater Western Sydney,R11,29/5/2021,2021,10.5,11
Hawthorn,R11,29/5/2021,2021,11.1,11
Melbourne,R11,28/5/2021,2021,13.9,11
North Melbourne,R11,29/5/2021,2021,10.8,11
Port Adelaide,R11,30/5/2021,2021,18.7,11
Richmond,R11,30/5/2021,2021,17.9,11
St Kilda,R11,29/5/2021,2021,12.16,11
Sydney,R11,30/5/2021,2021,15.1,11
West Coast,R11,29/5/2021,2021,11.5,11
Western Bulldogs,R11,28/5/2021,2021,8.11,11
Adelaide,R12,5/6/2021,2021,10.13,12
Brisbane Lions,R12,4/6/2021,2021,11.9,12
Carlton,R12,6/6/2021,2021,10.13,12
Collingwood,R12,5/6/2021,2021,12.6,12
Essendon,R12,5/6/2021,2021,12.12,12
Fremantle,R12,6/6/2021,2021,9.11,12
Melbourne,R12,4/6/2021,2021,14.13,12
Richmond,R12,5/6/2021,2021,19.9,12
St Kilda,R12,5/6/2021,2021,12.11,12
Sydney,R12,5/6/2021,2021,13.14,12
West Coast,R12,6/6/2021,2021,14.11,12
Western Bulldogs,R12,6/6/2021,2021,13.15,12
Adelaide,R13,12/6/2021,2021,9.12,13
Collingwood,R13,14/6/2021,2021,11.14,13
Fremantle,R13,12/6/2021,2021,11.1,13
Geelong,R13,10/6/2021,2021,17.1,13
Gold Coast,R13,12/6/2021,2021,6.13,13
Greater Western Sydney,R13,13/6/2021,2021,14.1,13
Hawthorn,R13,11/6/2021,2021,14.5,13
Melbourne,R13,14/6/2021,2021,9.9,13
North Melbourne,R13,13/6/2021,2021,14.1,13
Port Adelaide,R13,10/6/2021,2021,14.7,13
Richmond,R13,13/6/2021,2021,12.9,13
St Kilda,R13,12/6/2021,2021,8.12,13
Sydney,R13,11/6/2021,2021,7.9,13
West Coast,R13,13/6/2021,2021,13.7,13
Brisbane Lions,R14,19/6/2021,2021,9.14,14
Carlton,R14,19/6/2021,2021,9.12,14
Essendon,R14,20/6/2021,2021,13.8,14
Geelong,R14,18/6/2021,2021,12.11,14
Gold Coast,R14,19/6/2021,2021,4.7,14
Greater Western Sydney,R14,19/6/2021,2021,16.6,14
Hawthorn,R14,20/6/2021,2021,10.13,14
North Melbourne,R14,19/6/2021,2021,6.9,14
Port Adelaide,R14,19/6/2021,2021,12.9,14
Western Bulldogs,R14,18/6/2021,2021,11.12,14
Adelaide,R15,27/6/2021,2021,10.13,15
Brisbane Lions,R15,24/6/2021,2021,13.16,15
Carlton,R15,27/6/2021,2021,12.11,15
Collingwood,R15,26/6/2021,2021,12.7,15
Essendon,R15,26/6/2021,2021,8.9,15
Fremantle,R15,26/6/2021,2021,14.7,15
Geelong,R15,24/6/2021,2021,7.8,15
Gold Coast,R15,26/6/2021,2021,9.9,15
Greater Western Sydney,R15,27/6/2021,2021,11.6,15
Hawthorn,R15,27/6/2021,2021,13.12,15
Melbourne,R15,26/6/2021,2021,9.14,15
North Melbourne,R15,26/6/2021,2021,9.18,15
Port Adelaide,R15,26/6/2021,2021,12.9,15
Richmond,R15,25/6/2021,2021,2.1,15
St Kilda,R15,25/6/2021,2021,9.8,15
Sydney,R15,26/6/2021,2021,10.11,15
West Coast,R15,27/6/2021,2021,6.7,15
Western Bulldogs,R15,27/6/2021,2021,13.2,15
Adelaide,R16,3/7/2021,2021,8.11,16
Brisbane Lions,R16,3/7/2021,2021,17.9,16
Carlton,R16,3/7/2021,2021,12.8,16
Collingwood,R16,4/7/2021,2021,8.13,16
Essendon,R16,2/7/2021,2021,8.9,16
Fremantle,R16,3/7/2021,2021,8.16,16
Geelong,R16,2/7/2021,2021,15.8,16
Gold Coast,R16,1/7/2021,2021,10.17,16
Greater Western Sydney,R16,3/7/2021,2021,9.1,16
Hawthorn,R16,3/7/2021,2021,7.11,16
Melbourne,R16,3/7/2021,2021,7.13,16
North Melbourne,R16,4/7/2021,2021,11.13,16
Port Adelaide,R16,3/7/2021,2021,13.9,16
Richmond,R16,1/7/2021,2021,10.7,16
St Kilda,R16,4/7/2021,2021,10.1,16
Sydney,R16,4/7/2021,2021,18.1,16
West Coast,R16,4/7/2021,2021,3.8,16
Western Bulldogs,R16,4/7/2021,2021,16.12,16
Adelaide,R17,9/7/2021,2021,2.9,17
Brisbane Lions,R17,10/7/2021,2021,8.15,17
Carlton,R17,10/7/2021,2021,5.14,17
Collingwood,R17,11/7/2021,2021,13.9,17
Essendon,R17,9/7/2021,2021,11.18,17
Fremantle,R17,10/7/2021,2021,16.12,17
Geelong,R17,10/7/2021,2021,10.1,17
Gold Coast,R17,11/7/2021,2021,10.5,17
Greater Western Sydney,R17,11/7/2021,2021,9.1,17
Hawthorn,R17,10/7/2021,2021,6.1,17
Melbourne,R17,8/7/2021,2021,12.14,17
North Melbourne,R17,12/7/2021,2021,10.1,17
Port Adelaide,R17,8/7/2021,2021,8.7,17
Richmond,R17,11/7/2021,2021,11.5,17
St Kilda,R17,10/7/2021,2021,14.11,17
Sydney,R17,11/7/2021,2021,11.13,17
West Coast,R17,12/7/2021,2021,8.12,17
Western Bulldogs,R17,11/7/2021,2021,8.12,17
Adelaide,R18,18/7/2021,2021,8.8,18
Brisbane Lions,R18,16/7/2021,2021,13.8,18
Carlton,R18,18/7/2021,2021,13.13,18
Collingwood,R18,18/7/2021,2021,9.8,18
Essendon,R18,18/7/2021,2021,13.14,18
Fremantle,R18,15/7/2021,2021,3.13,18
Geelong,R18,15/7/2021,2021,14.16,18
Gold Coast,R18,17/7/2021,2021,11.13,18
Greater Western Sydney,R18,18/7/2021,2021,11.6,18
Hawthorn,R18,17/7/2021,2021,12.7,18
Melbourne,R18,17/7/2021,2021,11.13,18
North Melbourne,R18,18/7/2021,2021,11.8,18
Port Adelaide,R18,17/7/2021,2021,10.14,18
Richmond,R18,16/7/2021,2021,16.1,18
St Kilda,R18,17/7/2021,2021,8.13,18
Sydney,R18,18/7/2021,2021,15.8,18
West Coast,R18,18/7/2021,2021,14.14,18
Western Bulldogs,R18,17/7/2021,2021,14.6,18
Adelaide,R19,24/7/2021,2021,16.6,19
Brisbane Lions,R19,24/7/2021,2021,17.18,19
Carlton,R19,24/7/2021,2021,11.11,19
Collingwood,R19,23/7/2021,2021,10.9,19
Essendon,R19,25/7/2021,2021,7.11,19
Fremantle,R19,25/7/2021,2021,8.1,19
Geelong,R19,25/7/2021,2021,15.5,19
Gold Coast,R19,24/7/2021,2021,10.11,19
Greater Western Sydney,R19,25/7/2021,2021,9.12,19
Hawthorn,R19,24/7/2021,2021,13.5,19
Melbourne,R19,24/7/2021,2021,9.11,19
North Melbourne,R19,24/7/2021,2021,18.8,19
Port Adelaide,R19,23/7/2021,2021,14.13,19
Richmond,R19,25/7/2021,2021,8.9,19
St Kilda,R19,24/7/2021,2021,13.8,19
Sydney,R19,25/7/2021,2021,14.14,19
West Coast,R19,24/7/2021,2021,14.1,19
Western Bulldogs,R19,24/7/2021,2021,13.7,19
Adelaide,R20,31/7/2021,2021,8.8,20
Brisbane Lions,R20,1/8/2021,2021,12.8,20
Carlton,R20,30/7/2021,2021,18.4,20
Collingwood,R20,31/7/2021,2021,14.6,20
Essendon,R20,1/8/2021,2021,16.6,20
Fremantle,R20,1/8/2021,2021,7.13,20
Geelong,R20,31/7/2021,2021,8.14,20
Gold Coast,R20,1/8/2021,2021,4.6,20
Greater Western Sydney,R20,1/8/2021,2021,11.7,20
Hawthorn,R20,1/8/2021,2021,14.8,20
Melbourne,R20,1/8/2021,2021,18.2,20
North Melbourne,R20,31/7/2021,2021,6.6,20
Port Adelaide,R20,1/8/2021,2021,15.1,20
Richmond,R20,1/8/2021,2021,6.15,20
St Kilda,R20,30/7/2021,2021,12.9,20
Sydney,R20,1/8/2021,2021,17.7,20
West Coast,R20,31/7/2021,2021,6.9,20
Western Bulldogs,R20,31/7/2021,2021,15.15,20
Adelaide,R21,7/8/2021,2021,7.9,21
Brisbane Lions,R21,8/8/2021,2021,18.1,21
Carlton,R21,7/8/2021,2021,8.9,21
Collingwood,R21,8/8/2021,2021,12.6,21
Essendon,R21,8/8/2021,2021,15.7,21
Fremantle,R21,8/8/2021,2021,8.6,21
Geelong,R21,6/8/2021,2021,8.17,21
Gold Coast,R21,7/8/2021,2021,11.1,21
Greater Western Sydney,R21,6/8/2021,2021,13.6,21
Hawthorn,R21,8/8/2021,2021,15.7,21
Melbourne,R21,9/8/2021,2021,10.12,21
North Melbourne,R21,7/8/2021,2021,8.8,21
Port Adelaide,R21,7/8/2021,2021,7.13,21
Richmond,R21,7/8/2021,2021,13.11,21
St Kilda,R21,7/8/2021,2021,14.9,21
Sydney,R21,7/8/2021,2021,10.4,21
West Coast,R21,9/8/2021,2021,9.9,21
Western Bulldogs,R21,8/8/2021,2021,12.12,21
Adelaide,R22,15/8/2021,2021,9.9,22
Brisbane Lions,R22,14/8/2021,2021,22.1,22
Carlton,R22,14/8/2021,2021,5.15,22
Collingwood,R22,14/8/2021,2021,8.9,22
Essendon,R22,15/8/2021,2021,14.14,22
Fremantle,R22,15/8/2021,2021,12.7,22
Geelong,R22,14/8/2021,2021,13.7,22
Gold Coast,R22,15/8/2021,2021,4.6,22
Greater Western Sydney,R22,13/8/2021,2021,16.1,22
Hawthorn,R22,14/8/2021,2021,9.1,22
Melbourne,R22,15/8/2021,2021,16.8,22
North Melbourne,R22,14/8/2021,2021,12.5,22
Port Adelaide,R22,14/8/2021,2021,21.14,22
Richmond,R22,13/8/2021,2021,10.7,22
St Kilda,R22,14/8/2021,2021,11.5,22
Sydney,R22,14/8/2021,2021,13.13,22
West Coast,R22,15/8/2021,2021,9.1,22
Western Bulldogs,R22,14/8/2021,2021,5.7,22
Adelaide,R23,22/8/2021,2021,13.2,23
Brisbane Lions,R23,21/8/2021,2021,19.11,23
Carlton,R23,21/8/2021,2021,11.9,23
Collingwood,R23,22/8/2021,2021,9.1,23
Essendon,R23,22/8/2021,2021,16.6,23
Fremantle,R23,22/8/2021,2021,6.13,23
Geelong,R23,21/8/2021,2021,12.5,23
Gold Coast,R23,21/8/2021,2021,6.13,23
Greater Western Sydney,R23,21/8/2021,2021,12.17,23
Hawthorn,R23,21/8/2021,2021,12.11,23
Melbourne,R23,21/8/2021,2021,12.9,23
North Melbourne,R23,22/8/2021,2021,8.6,23
Port Adelaide,R23,20/8/2021,2021,9.12,23
Richmond,R23,21/8/2021,2021,12.11,23
St Kilda,R23,22/8/2021,2021,17.5,23
Sydney,R23,21/8/2021,2021,21.1,23
West Coast,R23,21/8/2021,2021,13.9,23
Western Bulldogs,R23,20/8/2021,2021,10.4,23
Essendon,EF,29/8/2021,2021,4.12,25
Greater Western Sydney,EF,28/8/2021,2021,11.8,25
Sydney,EF,28/8/2021,2021,10.13,25
Western Bulldogs,EF,29/8/2021,2021,13.7,25
Brisbane Lions,QF,28/8/2021,2021,9.6,26
Geelong,QF,27/8/2021,2021,5.13,26
Melbourne,QF,28/8/2021,2021,13.15,26
Port Adelaide,QF,27/8/2021,2021,12.14,26
Brisbane Lions,SF,4/9/2021,2021,11.12,27
Geelong,SF,3/9/2021,2021,15.13,27
Greater Western Sydney,SF,3/9/2021,2021,10.8,27
Western Bulldogs,SF,4/9/2021,2021,11.13,27
Geelong,PF,10/9/2021,2021,6.6,28
Melbourne,PF,10/9/2021,2021,19.11,28
Port Adelaide,PF,11/9/2021,2021,6.9,28
Western Bulldogs,PF,11/9/2021,2021,17.14,28
Melbourne,GF,25/9/2021,2021,21.14,29
Western Bulldogs,GF,25/9/2021,2021,10.6,29
Adelaide,R1,20/3/2022,2022,12.1,1
Brisbane Lions,R1,19/3/2022,2022,11.14,1
Carlton,R1,17/3/2022,2022,14.17,1
Collingwood,R1,18/3/2022,2022,15.12,1
Essendon,R1,19/3/2022,2022,11.6,1
Fremantle,R1,20/3/2022,2022,11.17,1
Geelong,R1,19/3/2022,2022,20.18,1
Gold Coast,R1,20/3/2022,2022,16.11,1
Greater Western Sydney,R1,19/3/2022,2022,13.14,1
Hawthorn,R1,20/3/2022,2022,11.12,1
Melbourne,R1,16/3/2022,2022,14.13,1
North Melbourne,R1,20/3/2022,2022,8.1,1
Port Adelaide,R1,19/3/2022,2022,10.9,1
Richmond,R1,17/3/2022,2022,11.1,1
St Kilda,R1,18/3/2022,2022,12.13,1
Sydney,R1,19/3/2022,2022,17.1,1
West Coast,R1,20/3/2022,2022,12.8,1
Western Bulldogs,R1,16/3/2022,2022,11.5,1
Adelaide,R2,26/3/2022,2022,8.1,2
Brisbane Lions,R2,26/3/2022,2022,15.7,2
Carlton,R2,24/3/2022,2022,16.6,2
Collingwood,R2,26/3/2022,2022,15.1,2
Essendon,R2,26/3/2022,2022,10.15,2
Fremantle,R2,27/3/2022,2022,8.7,2
Geelong,R2,25/3/2022,2022,10.17,2
Gold Coast,R2,26/3/2022,2022,10.9,2
Greater Western Sydney,R2,27/3/2022,2022,10.13,2
Hawthorn,R2,26/3/2022,2022,19.6,2
Melbourne,R2,26/3/2022,2022,12.1,2
North Melbourne,R2,27/3/2022,2022,10.14,2
Port Adelaide,R2,26/3/2022,2022,7.14,2
Richmond,R2,27/3/2022,2022,16.13,2
St Kilda,R2,27/3/2022,2022,9.11,2
Sydney,R2,25/3/2022,2022,17.5,2
West Coast,R2,27/3/2022,2022,8.11,2
Western Bulldogs,R2,24/3/2022,2022,13.12,2
Adelaide,R3,1/4/2022,2022,15.6,3
Brisbane Lions,R3,2/4/2022,2022,23.18,3
Carlton,R3,3/4/2022,2022,11.8,3
Collingwood,R3,2/4/2022,2022,13.13,3
Essendon,R3,1/4/2022,2022,10.1,3
Fremantle,R3,3/4/2022,2022,15.12,3
Geelong,R3,2/4/2022,2022,16.8,3
Gold Coast,R3,2/4/2022,2022,8.9,3
Greater Western Sydney,R3,2/4/2022,2022,12.11,3
Hawthorn,R3,3/4/2022,2022,11.7,3
Melbourne,R3,1/4/2022,2022,14.15,3
North Melbourne,R3,2/4/2022,2022,7.6,3
Port Adelaide,R3,1/4/2022,2022,13.14,3
Richmond,R3,3/4/2022,2022,13.6,3
St Kilda,R3,3/4/2022,2022,18.9,3
Sydney,R3,31/3/2022,2022,9.6,3
West Coast,R3,3/4/2022,2022,7.5,3
Western Bulldogs,R3,31/3/2022,2022,9.17,3
Adelaide,R4,10/4/2022,2022,15.9,4
Brisbane Lions,R4,8/4/2022,2022,11.4,4
Carlton,R4,10/4/2022,2022,8.14,4
Collingwood,R4,9/4/2022,2022,10.14,4
Essendon,R4,10/4/2022,2022,15.13,4
Fremantle,R4,9/4/2022,2022,13.1,4
Geelong,R4,8/4/2022,2022,11.14,4
Gold Coast,R4,10/4/2022,2022,13.14,4
Greater Western Sydney,R4,9/4/2022,2022,8.6,4
Hawthorn,R4,10/4/2022,2022,10.13,4
Melbourne,R4,7/4/2022,2022,10.8,4
North Melbourne,R4,9/4/2022,2022,12.3,4
Port Adelaide,R4,7/4/2022,2022,4.12,4
Richmond,R4,9/4/2022,2022,15.9,4
St Kilda,R4,10/4/2022,2022,22.1,4
Sydney,R4,9/4/2022,2022,13.8,4
West Coast,R4,9/4/2022,2022,14.3,4
Western Bulldogs,R4,9/4/2022,2022,7.19,4
Adelaide,R5,16/4/2022,2022,15.11,5
Brisbane Lions,R5,14/4/2022,2022,15.8,5
Carlton,R5,17/4/2022,2022,14.1,5
Collingwood,R5,14/4/2022,2022,14.7,5
Essendon,R5,17/4/2022,2022,8.11,5
Fremantle,R5,17/4/2022,2022,16.11,5
Geelong,R5,18/4/2022,2022,11.14,5
Gold Coast,R5,16/4/2022,2022,9.7,5
Greater Western Sydney,R5,16/4/2022,2022,7.11,5
Hawthorn,R5,18/4/2022,2022,14.8,5
Melbourne,R5,16/4/2022,2022,19.6,5
North Melbourne,R5,15/4/2022,2022,11.5,5
Port Adelaide,R5,17/4/2022,2022,13.13,5
Richmond,R5,16/4/2022,2022,12.1,5
St Kilda,R5,16/4/2022,2022,13.9,5
Sydney,R5,15/4/2022,2022,18.13,5
West Coast,R5,15/4/2022,2022,9.4,5
Western Bulldogs,R5,15/4/2022,2022,21.13,5
Adelaide,R6,23/4/2022,2022,8.15,6
Brisbane Lions,R6,24/4/2022,2022,21.6,6
Carlton,R6,23/4/2022,2022,9.8,6
Collingwood,R6,25/4/2022,2022,15.3,6
Essendon,R6,25/4/2022,2022,12.1,6
Fremantle,R6,23/4/2022,2022,14.13,6
Geelong,R6,24/4/2022,2022,17.19,6
Gold Coast,R6,24/4/2022,2022,11.14,6
Greater Western Sydney,R6,22/4/2022,2022,8.12,6
Hawthorn,R6,25/4/2022,2022,10.8,6
Melbourne,R6,24/4/2022,2022,9.22,6
North Melbourne,R6,24/4/2022,2022,9.7,6
Port Adelaide,R6,23/4/2022,2022,18.9,6
Richmond,R6,24/4/2022,2022,8.6,6
St Kilda,R6,22/4/2022,2022,10.17,6
Sydney,R6,25/4/2022,2022,16.13,6
West Coast,R6,23/4/2022,2022,4.9,6
Western Bulldogs,R6,23/4/2022,2022,9.8,6
Adelaide,R7,30/4/2022,2022,8.6,7
Brisbane Lions,R7,1/5/2022,2022,17.11,7
Carlton,R7,30/4/2022,2022,17.12,7
Collingwood,R7,1/5/2022,2022,17.13,7
Essendon,R7,1/5/2022,2022,10.11,7
Fremantle,R7,30/4/2022,2022,10.9,7
Geelong,R7,30/4/2022,2022,10.6,7
Gold Coast,R7,1/5/2022,2022,14.6,7
Greater Western Sydney,R7,30/4/2022,2022,17.11,7
Hawthorn,R7,30/4/2022,2022,11.15,7
Melbourne,R7,30/4/2022,2022,13.13,7
North Melbourne,R7,30/4/2022,2022,10.4,7
Port Adelaide,R7,30/4/2022,2022,5.13,7
Richmond,R7,29/4/2022,2022,25.15,7
St Kilda,R7,30/4/2022,2022,4.18,7
Sydney,R7,1/5/2022,2022,13.11,7
West Coast,R7,29/4/2022,2022,8.8,7
Western Bulldogs,R7,1/5/2022,2022,16.7,7
Adelaide,R8,8/5/2022,2022,10.8,8
Brisbane Lions,R8,7/5/2022,2022,16.9,8
Carlton,R8,8/5/2022,2022,17.14,8
Collingwood,R8,7/5/2022,2022,12.14,8
Essendon,R8,7/5/2022,2022,16.12,8
Fremantle,R8,6/5/2022,2022,15.12,8
Geelong,R8,7/5/2022,2022,12.16,8
Gold Coast,R8,7/5/2022,2022,10.15,8
Greater Western Sydney,R8,7/5/2022,2022,4.11,8
Hawthorn,R8,7/5/2022,2022,11.15,8
Melbourne,R8,8/5/2022,2022,14.9,8
North Melbourne,R8,6/5/2022,2022,3.6,8
Port Adelaide,R8,6/5/2022,2022,12.14,8
Richmond,R8,7/5/2022,2022,17.11,8
St Kilda,R8,8/5/2022,2022,8.7,8
Sydney,R8,7/5/2022,2022,8.13,8
West Coast,R8,7/5/2022,2022,4.6,8
Western Bulldogs,R8,6/5/2022,2022,10.9,8
Adelaide,R9,14/5/2022,2022,9.12,9
Brisbane Lions,R9,14/5/2022,2022,16.6,9
Carlton,R9,15/5/2022,2022,15.15,9
Collingwood,R9,13/5/2022,2022,7.9,9
Essendon,R9,14/5/2022,2022,6.11,9
Fremantle,R9,15/5/2022,2022,4.9,9
Geelong,R9,14/5/2022,2022,11.14,9
Gold Coast,R9,15/5/2022,2022,10.9,9
Greater Western Sydney,R9,15/5/2022,2022,11.9,9
Hawthorn,R9,14/5/2022,2022,14.1,9
Melbourne,R9,15/5/2022,2022,16.16,9
North Melbourne,R9,14/5/2022,2022,6.1,9
Port Adelaide,R9,14/5/2022,2022,17.13,9
Richmond,R9,14/5/2022,2022,17.15,9
St Kilda,R9,14/5/2022,2022,13.12,9
Sydney,R9,14/5/2022,2022,14.21,9
West Coast,R9,15/5/2022,2022,5.8,9
Western Bulldogs,R9,13/5/2022,2022,14.15,9
Adelaide,R10,21/5/2022,2022,9.15,10
Brisbane Lions,R10,22/5/2022,2022,17.1,10
Carlton,R10,20/5/2022,2022,15.12,10
Collingwood,R10,22/5/2022,2022,12.8,10
Essendon,R10,21/5/2022,2022,7.6,10
Fremantle,R10,22/5/2022,2022,6.8,10
Geelong,R10,21/5/2022,2022,11.16,10
Gold Coast,R10,21/5/2022,2022,13.9,10
Greater Western Sydney,R10,22/5/2022,2022,21.12,10
Hawthorn,R10,22/5/2022,2022,18.9,10
Melbourne,R10,21/5/2022,2022,14.16,10
North Melbourne,R10,21/5/2022,2022,8.5,10
Port Adelaide,R10,21/5/2022,2022,7.5,10
Richmond,R10,21/5/2022,2022,11.14,10
St Kilda,R10,21/5/2022,2022,14.6,10
Sydney,R10,20/5/2022,2022,13.9,10
West Coast,R10,22/5/2022,2022,13.8,10
Western Bulldogs,R10,21/5/2022,2022,15.16,10
Adelaide,R11,28/5/2022,2022,7.13,11
Brisbane Lions,R11,28/5/2022,2022,16.14,11
Carlton,R11,29/5/2022,2022,11.9,11
Collingwood,R11,29/5/2022,2022,11.13,11
Essendon,R11,29/5/2022,2022,6.14,11
Fremantle,R11,28/5/2022,2022,14.1,11
Geelong,R11,28/5/2022,2022,15.7,11
Gold Coast,R11,28/5/2022,2022,18.13,11
